iter	Passed	Remaining
0	164	164581
1	165	82727
2	166	55462
3	167	41780
4	168	33561
5	169	28089
6	170	24179
7	171	21241
8	172	19000
9	173	17209
10	174	15709
11	175	14454
12	176	13390
13	177	12483
14	178	11695
15	178	11005
16	179	10395
17	180	9853
18	181	9370
19	182	8932
20	183	8537
21	183	8178
22	185	7883
23	186	7585
24	187	7309
25	188	7053
26	189	6814
27	189	6592
28	190	6385
29	191	6192
30	192	6011
31	193	5841
32	193	5681
33	194	5533
34	195	5392
35	196	5260
36	197	5134
37	198	5015
38	198	4901
39	200	4802
40	200	4700
41	201	4603
42	202	4510
43	203	4422
44	204	4338
45	205	4256
46	206	4178
47	206	4102
48	207	4031
49	208	3962
50	209	3895
51	210	3830
52	210	3768
53	211	3708
54	212	3652
55	213	3599
56	214	3546
57	215	3494
58	215	3444
59	216	3396
60	217	3348
61	218	3303
62	219	3258
63	219	3215
64	220	3176
65	221	3136
66	222	3098
67	222	3054
68	223	3019
69	224	2983
70	225	2949
71	226	2915
72	227	2884
73	228	2854
74	228	2823
75	229	2793
76	230	2763
77	231	2734
78	232	2706
79	232	2678
80	233	2651
81	234	2624
82	235	2599
83	236	2574
84	236	2547
85	237	2524
86	238	2498
87	238	2475
88	239	2452
89	240	2431
90	241	2413
91	242	2392
92	243	2371
93	244	2351
94	244	2331
95	245	2312
96	246	2293
97	247	2273
98	247	2256
99	248	2237
100	249	2220
101	249	2200
102	250	2183
103	251	2166
104	252	2149
105	253	2134
106	253	2118
107	265	2189
108	266	2174
109	266	2159
110	267	2143
111	268	2127
112	269	2112
113	270	2098
114	270	2084
115	271	2068
116	272	2055
117	273	2041
118	273	2026
119	274	2013
120	275	2000
121	276	1987
122	276	1971
123	277	1959
124	278	1946
125	278	1934
126	279	1921
127	280	1908
128	280	1896
129	281	1884
130	282	1873
131	283	1862
132	284	1852
133	284	1841
134	285	1831
135	286	1820
136	287	1810
137	288	1799
138	289	1792
139	290	1782
140	291	1773
141	291	1764
142	292	1754
143	293	1745
144	294	1736
145	295	1727
146	296	1718
147	297	1711
148	298	1703
149	299	1695
150	300	1687
151	300	1678
152	301	1670
153	302	1662
154	303	1654
155	304	1646
156	305	1639
157	306	1631
158	307	1624
159	307	1616
160	308	1608
161	309	1600
162	310	1592
163	310	1585
164	312	1579
165	312	1572
166	313	1564
167	314	1557
168	315	1550
169	316	1543
170	316	1536
171	317	1529
172	318	1522
173	319	1515
174	320	1509
175	320	1502
176	321	1496
177	322	1489
178	323	1483
179	324	1476
180	324	1468
181	325	1462
182	326	1456
183	326	1449
184	327	1443
185	328	1437
186	329	1431
187	329	1425
188	330	1419
189	331	1413
190	332	1408
191	333	1402
192	334	1396
193	334	1390
194	335	1385
195	336	1379
196	337	1373
197	337	1368
198	338	1363
199	339	1358
200	340	1353
201	341	1348
202	342	1343
203	343	1338
204	343	1333
205	344	1328
206	345	1323
207	346	1318
208	347	1313
209	347	1308
210	348	1304
211	349	1299
