iter	Passed	Remaining
0	140	140277
1	141	70367
2	141	47048
3	142	35444
4	143	28471
5	143	23796
6	144	20483
7	144	17974
8	145	16021
9	146	14454
10	146	13177
11	147	12116
12	147	11213
13	148	10441
14	148	9771
15	149	9200
16	150	8683
17	150	8221
18	151	7806
19	151	7433
20	152	7109
21	153	6805
22	153	6524
23	154	6269
24	154	6032
25	155	5814
26	155	5613
27	156	5429
28	156	5254
29	157	5093
30	158	4939
31	158	4795
32	159	4661
33	159	4534
34	160	4418
35	160	4305
36	161	4199
37	161	4097
38	162	4001
39	162	3909
40	163	3822
41	163	3739
42	164	3660
43	164	3584
44	165	3514
45	166	3447
46	166	3381
47	167	3318
48	167	3258
49	168	3199
50	168	3142
51	169	3091
52	170	3038
53	170	2988
54	171	2940
55	171	2894
56	172	2855
57	173	2812
58	173	2772
59	174	2730
60	174	2690
61	175	2651
62	175	2614
63	176	2578
64	176	2543
65	177	2509
66	177	2477
67	178	2445
68	178	2414
69	179	2383
70	179	2354
71	180	2325
72	181	2298
73	181	2271
74	182	2245
75	182	2219
76	183	2194
77	183	2169
78	184	2151
79	185	2129
80	185	2106
81	186	2084
82	186	2060
83	187	2040
84	187	2019
85	188	2000
86	189	1985
87	189	1966
88	190	1948
89	190	1930
90	191	1913
91	192	1895
92	192	1878
93	193	1862
94	193	1845
95	194	1829
96	194	1814
97	195	1801
98	196	1786
99	196	1771
100	197	1757
101	197	1742
102	198	1729
103	199	1716
104	199	1703
105	200	1689
106	201	1678
107	201	1666
108	202	1654
109	203	1642
110	203	1632
111	204	1620
112	204	1608
113	205	1596
114	205	1584
115	206	1573
116	207	1562
117	207	1551
118	208	1540
119	208	1529
120	209	1519
121	209	1508
122	210	1498
123	210	1488
124	211	1478
125	211	1468
126	212	1458
127	212	1449
128	213	1440
129	213	1431
130	214	1423
131	215	1414
132	215	1405
133	216	1396
134	216	1388
135	217	1380
136	217	1372
137	218	1364
138	219	1357
139	219	1350
140	220	1342
141	220	1333
142	221	1325
143	221	1319
144	222	1311
145	223	1304
146	223	1297
147	224	1291
148	224	1283
149	225	1276
150	225	1270
151	226	1263
152	227	1257
153	227	1250
154	228	1243
155	228	1237
156	229	1232
157	230	1225
158	230	1219
159	231	1213
160	231	1206
161	232	1201
162	232	1195
163	233	1189
164	233	1183
165	234	1179
166	235	1173
167	235	1167
168	236	1162
169	237	1158
170	237	1153
171	238	1148
172	239	1142
173	239	1137
174	240	1132
175	240	1127
176	241	1122
177	241	1117
178	242	1112
179	243	1107
180	243	1103
181	244	1098
182	244	1093
183	245	1088
184	246	1083
185	246	1079
186	247	1074
187	247	1069
188	248	1065
189	248	1061
190	249	1056
191	250	1052
192	250	1047
193	251	1043
194	251	1039
195	252	1035
196	252	1031
197	253	1026
198	254	1022
199	254	1018
200	255	1014
201	255	1009
202	256	1005
203	256	1001
204	257	998
205	257	993
206	258	989
207	259	986
208	259	982
209	260	979
210	260	975
211	261	972
212	262	968
213	262	964
214	263	961
215	263	957
216	264	954
217	264	950
218	265	946
219	265	942
220	266	939
221	266	935
222	267	932
223	267	928
224	268	924
225	268	921
226	269	917
227	269	913
228	270	910
229	270	907
230	271	903
231	271	900
232	272	896
233	273	893
234	273	890
235	274	887
236	274	883
237	274	880
238	275	877
239	276	874
240	276	871
241	277	868
242	277	865
243	278	862
244	278	859
245	279	856
246	279	853
247	280	851
248	281	848
249	281	845
250	282	842
251	282	839
252	283	837
253	283	834
254	284	831
255	285	828
256	285	825
257	286	822
258	286	820
259	287	817
260	287	814
261	288	811
262	288	809
263	289	806
264	289	803
265	290	800
266	291	799
267	291	796
268	292	794
269	292	791
270	293	789
271	293	786
272	294	784
273	294	781
274	295	779
275	296	776
276	296	774
277	297	771
278	297	769
279	298	766
280	298	764
281	299	761
282	299	760
283	300	757
284	300	755
285	301	752
286	302	750
287	302	747
288	303	745
289	303	743
290	304	741
291	304	738
292	305	737
293	306	734
294	306	732
295	307	730
296	307	728
297	308	725
298	308	724
299	309	722
300	310	720
301	310	718
302	311	715
303	311	713
304	312	711
305	312	709
306	313	707
307	313	705
308	314	702
309	314	700
310	315	698
311	315	696
312	316	694
313	316	692
314	317	689
315	317	687
316	318	685
317	318	683
318	319	681
319	319	679
320	320	677
321	321	676
322	321	674
323	322	672
324	322	670
325	323	668
326	323	666
327	324	664
328	324	662
329	325	660
330	325	658
331	326	656
332	326	654
333	327	652
334	327	650
335	328	648
336	328	646
337	329	644
338	329	642
339	330	640
340	330	639
341	331	637
342	331	635
343	332	633
344	332	631
345	333	629
346	333	628
347	334	626
348	334	624
349	335	622
350	335	621
351	336	619
352	336	617
353	337	615
354	337	613
355	338	612
356	338	610
357	339	608
358	339	606
359	340	605
360	340	603
361	341	601
362	341	599
363	342	598
364	342	596
365	343	594
366	343	593
367	344	591
368	344	589
369	345	587
370	345	586
371	346	584
372	346	582
373	347	581
374	347	579
375	348	578
376	348	576
377	349	575
378	350	573
379	350	572
380	351	570
381	351	568
382	352	567
383	352	565
384	353	564
385	353	562
386	354	560
387	354	559
388	355	557
389	355	556
390	355	554
391	356	552
392	357	551
393	357	549
394	358	548
395	358	546
396	358	545
397	359	543
398	359	542
399	360	540
400	361	539
401	361	537
402	362	536
403	362	535
404	363	533
405	363	532
406	364	530
407	364	529
408	365	527
409	365	526
410	366	524
411	366	523
412	367	521
413	367	520
414	368	518
415	368	517
416	369	516
417	369	514
418	370	513
419	370	511
420	371	510
421	371	508
422	372	507
423	372	506
424	372	504
425	373	503
426	373	501
427	374	500
428	374	499
429	375	497
430	376	496
431	376	495
432	377	494
433	377	492
434	378	491
435	379	490
436	380	489
437	380	488
438	381	487
439	382	486
440	382	485
441	383	484
442	383	482
443	384	481
444	385	480
445	386	479
446	386	478
447	387	477
448	387	475
449	388	474
450	388	473
451	389	472
452	390	470
453	390	469
454	391	468
455	391	467
456	392	466
457	393	466
458	394	465
459	395	463
460	395	462
461	396	461
462	396	460
463	397	458
464	397	457
465	398	456
466	398	455
467	399	453
468	399	452
469	400	451
470	400	450
471	401	448
472	401	447
473	402	446
474	402	445
475	403	443
476	403	442
477	404	441
478	404	440
479	405	439
480	405	437
481	406	436
482	406	435
483	407	434
484	407	432
485	408	431
486	408	430
487	409	429
488	409	428
489	410	426
490	410	425
491	411	424
492	411	423
493	412	422
494	412	420
495	413	419
496	413	418
497	413	417
498	414	416
499	414	414
500	415	413
501	415	412
502	416	411
503	416	410
504	417	409
505	417	407
506	418	406
507	418	405
508	419	404
509	419	403
510	420	402
511	420	401
512	421	399
513	421	398
514	422	397
515	422	396
516	423	395
517	423	394
518	424	393
519	424	392
520	425	390
521	425	389
522	426	388
523	426	387
524	427	386
525	427	385
526	428	384
527	428	383
528	429	382
529	429	380
530	430	379
531	430	378
532	431	377
533	431	376
534	432	375
535	432	374
536	433	373
537	433	372
538	433	371
539	434	370
540	434	369
541	435	367
542	435	366
543	436	365
544	436	364
545	437	363
546	437	362
547	438	361
548	439	360
549	439	359
550	440	358
551	440	357
552	441	356
553	441	355
554	442	354
555	442	353
556	442	352
557	443	351
558	443	350
559	444	349
560	444	348
561	445	347
562	445	346
563	446	345
564	446	344
565	447	343
566	447	342
567	448	340
568	448	339
569	449	338
570	449	337
571	450	336
572	450	335
573	451	334
574	451	333
575	452	332
576	452	331
577	453	330
578	453	329
579	454	328
580	454	327
581	455	326
582	455	325
583	456	324
584	456	323
585	457	322
586	457	321
587	458	320
588	458	319
589	459	318
590	459	318
591	460	317
592	460	316
593	461	315
594	461	314
595	462	313
596	462	312
597	462	311
598	463	310
599	463	309
600	464	308
601	464	307
602	465	306
603	465	305
604	466	304
605	466	303
606	467	302
607	467	301
608	468	300
609	468	299
610	469	298
611	469	297
612	470	296
613	470	295
614	471	294
615	471	294
616	472	293
617	472	292
618	473	291
619	473	290
620	474	289
621	474	288
622	475	287
623	475	286
624	476	285
625	476	284
626	477	283
627	477	282
628	478	282
629	478	281
630	479	280
631	479	279
632	480	278
633	480	277
634	480	276
635	481	275
636	481	274
637	482	273
638	482	272
639	483	271
640	483	271
641	484	270
642	484	269
643	485	268
644	485	267
645	486	266
646	486	265
647	487	264
648	487	263
649	488	262
650	488	262
651	489	261
652	489	260
653	490	259
654	490	258
655	491	257
656	491	256
657	492	255
658	492	255
659	493	254
660	493	253
661	494	252
662	495	251
663	495	250
664	496	249
665	496	249
666	497	248
667	497	247
668	497	246
669	498	245
670	499	244
671	499	243
672	500	243
673	500	242
674	501	241
675	501	240
676	502	239
677	503	238
678	503	238
679	504	237
680	504	236
681	505	235
682	505	234
683	506	233
684	506	232
685	507	232
686	507	231
687	507	230
688	508	229
689	508	228
690	509	227
691	509	226
692	510	226
693	511	225
694	511	224
695	512	223
696	512	222
697	513	221
698	513	221
699	514	220
700	514	219
701	515	218
702	515	217
703	516	216
704	516	216
705	517	215
706	517	214
707	518	213
708	518	212
709	519	212
710	519	211
711	520	210
712	520	209
713	521	208
714	521	208
715	522	207
716	522	206
717	523	205
718	523	204
719	524	203
720	524	203
721	525	202
722	525	201
723	526	200
724	526	199
725	527	198
726	527	198
727	528	197
728	528	196
729	529	195
730	530	195
731	530	194
732	531	193
733	531	192
734	532	191
735	532	191
736	533	190
737	533	189
738	533	188
739	534	187
740	534	186
741	535	186
742	535	185
743	536	184
744	536	183
745	537	182
746	537	182
747	538	181
748	538	180
749	539	179
750	539	178
751	540	178
752	540	177
753	541	176
754	541	175
755	542	174
756	542	174
757	543	173
758	543	172
759	544	171
760	544	171
761	545	170
762	545	169
763	546	168
764	546	167
765	547	167
766	547	166
767	548	165
768	548	164
769	549	164
770	549	163
771	550	162
772	550	161
773	550	160
774	551	160
775	551	159
776	552	158
777	552	157
778	553	157
779	554	156
780	554	155
781	555	154
782	555	153
783	555	153
784	556	152
785	556	151
786	557	150
787	558	150
788	558	149
789	559	148
790	559	147
791	560	147
792	560	146
793	561	145
794	561	144
795	562	144
796	562	143
797	563	142
798	563	141
799	564	141
800	564	140
801	565	139
802	565	138
803	566	138
804	566	137
805	567	136
806	567	135
807	568	135
808	568	134
809	569	133
810	569	132
811	570	132
812	570	131
813	571	130
814	571	129
815	572	129
816	573	128
817	573	127
818	574	126
819	574	126
820	575	125
821	575	124
822	576	123
823	576	123
824	577	122
825	577	121
826	578	120
827	578	120
828	579	119
829	579	118
830	580	117
831	580	117
832	581	116
833	581	115
834	582	115
835	582	114
836	583	113
837	583	112
838	583	112
839	584	111
840	584	110
841	585	109
842	585	109
843	586	108
844	586	107
845	587	106
846	587	106
847	588	105
848	588	104
849	589	103
850	589	103
851	590	102
852	590	101
853	591	101
854	591	100
855	592	99
856	592	98
857	593	98
858	593	97
859	594	96
860	594	96
861	595	95
862	595	94
863	596	93
864	596	93
865	597	92
866	597	91
867	598	90
868	598	90
869	599	89
870	599	88
871	600	88
872	600	87
873	601	86
874	601	85
875	602	85
876	602	84
877	603	83
878	603	83
879	604	82
880	604	81
881	605	80
882	605	80
883	606	79
884	606	78
885	607	78
886	607	77
887	608	76
888	608	76
889	609	75
890	609	74
891	610	73
892	610	73
893	611	72
894	611	71
895	612	71
896	612	70
897	613	69
898	614	68
899	614	68
900	614	67
901	615	66
902	615	66
903	616	65
904	617	64
905	617	64
906	618	63
907	618	62
908	619	61
909	619	61
910	620	60
911	620	59
912	621	59
913	621	58
914	622	57
915	622	57
916	623	56
917	623	55
918	624	55
919	624	54
920	625	53
921	625	52
922	626	52
923	626	51
924	627	50
925	627	50
926	628	49
927	628	48
928	629	48
929	629	47
930	630	46
931	630	46
932	631	45
933	631	44
934	631	43
935	632	43
936	632	42
937	633	41
938	633	41
939	634	40
940	634	39
941	635	39
942	635	38
943	636	37
944	636	37
945	637	36
946	637	35
947	638	35
948	638	34
949	639	33
950	639	32
951	640	32
952	640	31
953	640	30
954	641	30
955	642	29
956	642	28
957	643	28
958	643	27
959	644	26
960	644	26
961	645	25
962	645	24
963	646	24
964	646	23
965	647	22
966	647	22
967	648	21
968	648	20
969	649	20
970	649	19
971	650	18
972	650	18
973	651	17
974	651	16
975	652	16
976	652	15
977	653	14
978	653	14
979	654	13
980	654	12
981	655	12
982	655	11
983	656	10
984	656	9
985	657	9
986	657	8
987	657	7
988	658	7
989	658	6
990	659	5
991	659	5
992	660	4
993	660	3
994	661	3
995	661	2
996	662	1
997	662	1
998	663	0
999	663	0
